TransactionID,TransactionDate,Amount,MerchantID,TransactionType,Location,IsFraud
1,"2024-04-03 14:15:35.462794",4189.27,688,refund,"San Antonio",0
2,"2024-03-19 13:20:35.462824",2659.71,109,refund,Dallas,0
3,"2024-01-08 10:08:35.462834",784,394,purchase,"New York",0
4,"2024-04-13 23:50:35.462850",3514.4,944,purchase,Philadelphia,0
5,"2024-07-12 18:51:35.462858",369.07,475,purchase,Phoenix,0
6,"2024-08-30 01:52:35.462867",3086.22,302,purchase,"New York",0
7,"2024-01-02 11:31:35.462875",1466.9,902,refund,Philadelphia,0
8,"2024-05-12 12:25:35.462885",917.21,266,purchase,"New York",0
9,"2023-11-16 02:20:35.462894",1625.73,32,refund,Chicago,0
10,"2023-10-24 06:51:35.462901",662.07,193,purchase,Dallas,0
11,"2024-08-10 17:08:35.462908",3895.94,349,refund,"San Antonio",0
12,"2024-08-27 16:03:35.462915",944.94,359,purchase,"San Jose",0
13,"2024-08-31 02:38:35.462922",2855.69,219,refund,"New York",0
14,"2023-11-12 13:30:35.462928",4313.82,617,refund,"San Jose",0
15,"2024-07-13 09:02:35.462935",4599.06,529,refund,Philadelphia,0
16,"2024-03-23 06:20:35.462942",1524.05,462,purchase,"San Diego",0
17,"2024-01-04 22:23:35.462948",2721.95,912,refund,"New York",0
18,"2023-11-05 23:33:35.462955",1357.76,522,refund,"New York",0
19,"2024-02-29 06:41:35.462962",4726.01,456,purchase,Dallas,0
20,"2024-01-16 01:48:35.462969",1814.95,134,refund,Houston,0
21,"2024-01-19 11:10:35.462976",269.8,51,refund,"San Jose",0
22,"2024-05-18 17:16:35.462983",512.1,196,purchase,Philadelphia,0
23,"2024-04-13 22:57:35.462989",2932.64,813,refund,Chicago,0
24,"2024-03-22 18:11:35.462995",1177.11,878,refund,Philadelphia,0
25,"2024-07-15 09:41:35.463002",3661.74,521,purchase,Dallas,0
26,"2024-10-10 00:28:35.463008",3664.95,348,purchase,"San Antonio",0
27,"2024-09-22 11:17:35.463015",4186.42,725,purchase,"New York",0
28,"2024-08-18 22:07:35.463021",1542.27,44,purchase,Houston,0
29,"2024-06-23 23:24:35.463041",4360.74,605,refund,Chicago,0
30,"2024-06-12 01:15:35.463048",862.62,347,purchase,"San Diego",0
31,"2024-07-24 17:19:35.463054",1062.73,595,refund,Chicago,0
32,"2024-07-04 01:22:35.463059",4162.63,163,purchase,"San Jose",0
33,"2024-07-22 16:26:35.463064",3439.54,781,refund,"San Antonio",0
34,"2024-06-08 20:00:35.463071",3953.72,510,purchase,Phoenix,0
35,"2024-05-17 08:14:35.463077",516.14,469,refund,"San Diego",0
36,"2024-07-28 09:38:35.463082",1069.35,322,refund,Phoenix,0
37,"2024-04-09 19:33:35.463088",1951.61,991,refund,Philadelphia,0
38,"2024-05-27 02:09:35.463094",2084.95,369,refund,"San Jose",0
39,"2024-08-09 09:02:35.463100",3204.04,663,purchase,Houston,0
40,"2023-12-09 18:12:35.463118",58.49,284,refund,Philadelphia,0
41,"2024-02-19 21:10:35.463122",3472.91,788,refund,"San Diego",0
